Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
134	0.4512993402971799	0.03401277924937227	0.29640043760932533	0.0012655098834666845	0.2170219329606558	0.0	0.6427187643719711	0.7701707162297581
135	0.32208650544080747	0.27508211599379356	0.39361422241031335	0	0.009217156155085662	0.0	0.6674809209384868	0.7446263668276975
136	0.08395483968984223	0.422703835499078	0.38585570979911243	0.002232190678477851	0.10525342433348943	0.0	0.6834565507329712	0.7550495377110529
137	0.502913508517895	0.20715041625628142	0.11085286929204322	0.0015121760681729747	0.1775710298656075	0.0	0.6557613837350941	0.7556944516114454
138	0.11327899538286254	0.4042827536050963	0.19967544666959894	0.0033106714278412323	0.27945213291460097	0.01	0.5509826804262508	0.8540478693308884
139	0.309668751195017	0.10199193057465206	0.36721158439751306	0.0012928256233912365	0.21983490820942664	0.0	0.6260927781366964	0.7792098260539952
140	0.322528606813919	0.2929462347736006	0	0.004204076828594116	0.38032108158388633	0.0	0.6142843373933078	0.795277089714381
141	0.047273326536244206	0.41226229932007374	0.11107202379987101	0.006873877173910599	0.42251847316990054	0.01	0.47416997785482023	0.889838984776565
142	0.16876385107939118	0.30228112905703514	0.3178925685890958	0.003059106211003844	0.20800334506347398	0.0	0.6243006346008411	0.7951604824714101
143	0.8469660199221487	0.08252681315315946	0	0.007975687490341549	0.06253147943435032	0.0	0.6368414871655985	0.9066800682171297
144	0.0945090226944009	0.26976002433228036	0.44757016828380475	0.0016473049206474396	0.18651347976886662	0.0	0.6471726483957577	0.7672138799466276
145	0.301629945468225	0.25484106880316193	0.27913840307797316	0.0051311480038850055	0.15925943464675493	0.0	0.6132526702363295	0.7923024858747493
146	0.161464458460987	0.23038627825066887	0.5640136636578488	0	0.04413559963049546	0.01	0.5525342418273907	0.8450481413935376
147	0.059185220892590415	0.185390906203717	0.5285157484257204	9.198263538165369E-4	0.2259882981241556	0.0	0.7016466776285525	0.7149775749366404
148	0.5767563900005144	0.025179599831556147	0.22865306137143146	0.002259675540120812	0.16715127325637724	0.0	0.6323154248282677	0.7997787961628711
149	0.3398856144366271	0.32478728343425056	0.2613467451715672	0.0029581644619047723	0.07102219249565041	0.0	0.644144610587071	0.7684970485896526
150	0.3694138825652548	0.18016074738585214	0.22852209418182828	0.001425192234875173	0.2204780836321896	0.0	0.644547994253784	0.7656842342564985
151	0.33287192319519526	0.26653963237976885	0.34142033215458456	0	0.05916811227045142	0.0	0.6401640386766285	0.7682702223005324
152	0.3770571638611638	0.24887612828310843	0.1288677741240184	0.0013290733157371737	0.24386986041597217	0.0	0.6510554917244546	0.7635565662396993
153	0.336475113440321	0.17291594137876487	0.45464803063736053	2.0946899617341164E-4	0.03575144554738031	0.0	0.6582857617125137	0.7536714441598222
154	0.18111487838560786	0.06294904468630004	0.335574080874339	0.0027913728744268815	0.41757062317932625	0.01	0.5896627860691107	0.8079887649563748
155	0.03881788835727777	0.6641300016042915	0.0164403327893825	0.03437342322401193	0.24623835402503627	0.01	0.44192376692439117	0.9075026326349638
156	0.05023027651148873	0.3923643253244337	0.36598232412483905	0.0024250028651418318	0.18899807117409667	0.0	0.6526364118947535	0.7798211824963505
157	0.28596099472516534	0.271206286464361	0.210747414066404	0.0066626286605665904	0.22542267608350317	0.0	0.610525972719415	0.7995708753993725
158	0.2944203137426141	0.22753404249596398	0.2904647188545712	0.0013338385866170518	0.1862470863202336	0.0	0.6121862436812069	0.7926459807314978
159	0.35601077167022227	0.3235075915063918	0.0625515015260809	0.001273321233615652	0.2566568140636894	0.0	0.6347711797170693	0.779880258963497
160	0.14419744617487068	0.05108133609082756	0.482038847003398	0.001631633767450969	0.3210507369634528	0.0	0.6280905720917332	0.7776865978148192
161	0.33841681357319486	0.1490953980517892	0.4119514899671577	5.075964715556082E-4	0.10002870193630264	0.0	0.6466925589517082	0.762740362172274
162	0.5483178223351336	0.17675659228204663	0.2010956805951884	0.0015651552422829506	0.07226474954534837	0.0	0.6469833419466345	0.7724898450913489
163	0.2462094938936283	0.2549881916421769	0.22363579903128397	0.0012831551631010175	0.27388336026980975	0.01	0.5850802959265987	0.8177040970899521
164	0.3420184728632274	0.2550735710103566	0.05953408199421067	0.003854442070857803	0.33951943206134755	0.0	0.6307724825406388	0.7823385632885262
165	0.38435582780206845	0.38414984159551857	0.028284891141122488	0.0013678739323844309	0.20184156552890611	0.0	0.6496855137792414	0.7666823835267003
166	0.4319728388096017	0.15659011679027168	0.2890857205379489	0.0015536320197929309	0.1207976918423848	0.0	0.6328625372212666	0.7754385630539978
167	0.36585283959599396	0.07780080998029669	0.40769520336165294	6.004469881999235E-4	0.14805070007385643	0.0	0.6290065013072982	0.7804366312554297
168	0.38458895117331365	0.10948630653623327	0.46165303717037387	8.94701650335175E-5	0.044182234955045814	0.0	0.6445766140857536	0.7719546202716429
169	0.4271005374720623	0.1294688877842605	0.36273994952215105	0	0.08069062522152615	0.0	0.6420253464003772	0.7704643577916473
170	0.15488785570555608	0.255474708740431	0.43633871275963987	0.0011759847579119562	0.15212273803646115	0.0	0.6097305932129528	0.7932528492156624
171	0.13549964504538078	0.09150112319556096	0.6155704742813282	9.16015602857891E-4	0.15651274187487216	0.0	0.6620461593618557	0.7539041693989825
172	0.28725592097676167	0.2118183158090836	0.360025577382787	0.003453235505369457	0.13744695032599824	0.0	0.6087296211825104	0.7930600095577061
173	0.38183203650924114	0.2297432562024078	0.17514852677991266	0.001365074402645938	0.21191110610579247	0.0	0.6419924669739214	0.7686280450793087
174	0.10915034671281981	0.3262813875928836	0.3227915831711281	0.001066700839193932	0.24070998168397453	0.01	0.5781986326525937	0.8253196648745827
175	0.2547389954484403	0.4109240953813232	0.1952064155100396	0.005258335877585564	0.13387215778261125	0.0	0.6125700629016047	0.8067199774849606
176	0.4643654495685004	0.16877287506663782	0.327735435360138	0	0.03912624000472386	0.0	0.6645344660951027	0.7502774004606625
