Column	adipocyte	cd4	MVEC	m1_macro	m2_macro	P.value	Pearson.Correlation	RMSE
SRR1347166	0.26270333869788	0	0.251905109074368	0	0.485391552227752	0.00301507537688442	0.319018375419208	0.993940127482108
SRR1347459	0.368380743345142	0	0.366273852506962	0	0.265345404147896	0.0241206030150754	0.16631324019887	1.13049423268496
SRR1347819	0.78337319368856	0.00246909602071441	0.168353946662199	0	0.0458037636285271	0	0.544917751107824	0.979965974326604
SRR1348402	0.61047630170962	0	0.300235026484083	0	0.089288671806297	0.00201005025125628	0.357122379018783	1.081170857942
SRR1349121	0.62205551694841	0	0.32245710822241	0	0.0554873748291804	0	0.456492106895878	1.00483614700999
SRR1351303	0.447818090135098	0	0.487585536758354	0.00211470956658469	0.0624816635399636	0	0.445156736037926	0.98643360091014
SRR1351347	0.652820864124834	0	0.286276285066271	0	0.0609028508088953	0.00301507537688442	0.335008644446203	1.12000329055259
SRR1351454	0.694857621070129	0	0.222561365442768	0	0.082581013487103	0	0.667728378051415	0.802194169092331
SRR1353199	0.618940077461971	0	0.323495931628257	0	0.0575639909097725	0	0.535992216380915	0.927874016780733
SRR1353309	0.553117765445661	0.00532715976274839	0.426046704295065	0.000228313900625646	0.0152800565958994	0.00402010050251256	0.297877041964545	1.13380021491984
SRR1354315	0.794553454938371	0	0.169354159362282	0	0.0360923856993465	0.00201005025125628	0.408193872394762	1.12461331790187
SRR1354931	0.530482698950182	0	0.427156740124714	0	0.0423605609251038	0.00301507537688442	0.329213860035775	1.09799924983483
SRR1355172	0.452396427071739	0	0.52815123320565	0	0.0194523397226113	0.0100502512562814	0.261372908122551	1.15442781236311
SRR1359062	0.427939949378755	0	0.414778004387741	0	0.157282046233505	0.0150753768844221	0.221861281733776	1.12952122535966
SRR1359447	0.675372102834036	0.0121242368846545	0.311718740781328	0.000784919499981505	0	0	0.538250636450338	0.94886667130325
SRR1360695	0.623223098650398	0.00118885630547886	0.375588045044123	0	0	0	0.55897890817239	0.91740992077965
